4.918886 0.059000 0.145691 0.673168 0.122445
4.940970 0.061700 0.332106 0.629824 0.049410
4.983939 0.058200 0.453216 0.520103 -0.021058
5.042459 0.042400 0.447349 0.373918 -0.060263
5.090381 0.031600 0.386604 0.318597 -0.049744
5.126673 0.030100 0.312861 0.376589 -0.000054
5.162922 0.043200 0.175213 0.547870 0.104246
5.199469 0.044500 0.025219 -0.559326 -0.188470
5.198672 0.035900 0.125808 -0.470480 -0.210817
5.151599 0.035100 0.113567 -0.464215 -0.223811
5.083193 0.042400 0.029539 -0.532179 -0.237198
5.004262 0.057500 0.087974 0.632638 0.247036
4.940943 0.073800 0.182971 0.716738 0.249870
4.895008 0.088900 0.272362 0.780241 0.241547
4.867019 0.105800 0.340623 0.845362 0.237422
4.876788 0.115400 0.365868 0.881761 0.232943
4.923844 0.112600 0.332954 0.875875 0.236039
4.991879 0.097900 0.286629 0.818938 0.218465
5.041978 0.065200 0.262202 0.663642 0.136719
5.067326 0.039800 0.276616 0.492760 0.037442
5.087328 0.027000 0.281336 0.370548 -0.023345
5.121078 0.025100 0.316898 0.311356 -0.049979
5.137525 0.024700 0.342753 0.274861 -0.054584
5.117024 0.024900 0.347985 0.274797 -0.046730
5.069253 0.031500 0.392611 0.311980 -0.047158
5.011974 0.036700 0.454652 0.294055 -0.073689
4.979686 0.030600 0.465773 0.113029 -0.145834
4.954555 0.072400 0.471004 0.610171 0.051266
4.957959 0.055900 0.514604 0.440405 -0.032881
4.965040 0.056600 0.542236 0.410616 -0.055274
4.966100 0.056400 0.458379 0.502857 0.025731
4.990809 0.064300 0.631714 0.322878 -0.148972
5.006182 0.056500 0.569579 0.355478 -0.098920
5.003458 0.046700 0.505575 0.348199 -0.065290
4.977366 0.045000 0.471717 0.381643 -0.027824
4.938273 0.058700 0.481809 0.502842 0.024475
4.907262 0.092800 0.431919 0.749952 0.152337
4.936970 0.104300 0.178653 0.861203 0.297947
4.987566 0.089300 0.048816 0.794858 0.310896
5.040333 0.076200 0.009350 -0.727492 -0.296070
5.078033 0.072200 0.007883 -0.710412 -0.275059
5.084845 0.072000 0.091224 0.717822 0.232761
5.089632 0.060500 0.305437 0.617816 0.102369
5.132431 0.030400 0.331556 0.362639 -0.016320
5.146392 0.010000 0.217719 0.170829 -0.052818
5.128833 0.003500 0.132486 0.074958 -0.066164
5.093029 0.003800 0.140002 0.063508 -0.081103
5.048028 0.010300 0.240914 0.133414 -0.085678
5.000026 0.033700 0.406538 0.327897 -0.047494
4.950943 0.068400 0.496544 0.562735 0.031697
4.922743 0.096600 0.569268 0.686866 0.068434
4.938922 0.099200 0.679406 0.598692 -0.006305
5.007118 0.078600 0.663797 0.442958 -0.062796
5.085670 0.049100 0.555609 0.278732 -0.087647
5.127625 0.029400 0.443717 0.172217 -0.088879
5.115196 0.011500 0.271298 0.099317 -0.092890
5.044147 0.014100 0.147047 0.230015 0.199314
4.978630 0.052500 0.156134 -0.616640 -0.159670
4.971073 0.029200 0.348437 0.344437 -0.004667
4.919110 0.043600 0.519910 0.296694 -0.055717
4.863324 0.061200 0.644835 0.299317 -0.090122
4.821825 0.072700 0.716563 0.296397 -0.118669
4.834474 0.068500 0.711918 0.210171 -0.165709
4.909259 0.094700 0.521283 0.703012 0.147709
4.991249 0.062100 0.496280 0.507825 0.062877
5.074463 0.040300 0.353310 0.439570 0.077034
5.142922 0.022200 0.217972 0.351038 0.071538
5.203378 0.013100 0.134466 0.284831 0.058041
5.248763 0.010900 0.044530 0.277730 0.072987
5.270243 0.014200 0.057452 -0.308856 -0.107830
5.253144 0.023900 0.059398 -0.401681 -0.145305
5.203512 0.044500 0.017413 0.556073 0.199355
5.120474 0.077400 0.127069 0.732932 0.251942
5.025298 0.104500 0.235909 0.849439 0.267922
4.944026 0.102500 0.356710 0.819859 0.217029
4.888547 0.072600 0.410735 0.649203 0.125913
4.872616 0.041600 0.445102 0.387854 0.009972
4.890855 0.034600 0.484313 0.224500 -0.059817
4.929533 0.031500 0.444235 0.247956 -0.045713
4.977242 0.028500 0.348694 0.334802 0.000839
5.038826 0.033800 0.342990 0.393655 0.030637
5.103183 0.043700 0.337427 0.480791 0.067753
5.149041 0.059100 0.299452 0.602668 0.124744
5.161223 0.069700 0.295747 0.665095 0.147137
5.153126 0.078800 0.319102 0.703909 0.164593
5.133072 0.102200 0.312224 0.811645 0.238048
5.107029 0.113000 0.111649 0.883624 0.331535
5.072309 0.099700 0.159442 -0.796973 -0.376636
5.019844 0.063200 0.373774 0.594833 0.143116
4.998736 0.053900 0.564634 0.348333 -0.017581
4.992152 0.048000 0.577558 0.230005 -0.076132
4.990344 0.047500 0.600950 0.029590 -0.164082
4.997202 0.043600 0.547739 -0.113566 -0.208423
5.003937 0.040400 0.502190 -0.171803 -0.219295
4.994290 0.036800 0.509319 -0.082440 -0.186176
4.984502 0.039200 0.529755 -0.069503 -0.188670
5.045902 0.084500 0.096275 -0.777524 -0.264349
5.053409 0.053500 0.161014 -0.613225 -0.174639
4.995102 0.010000 0.176147 -0.223717 0.030205
4.915779 0.018300 0.316856 -0.042128 -0.222599
4.882565 0.095000 0.718976 -0.394449 -0.349355
4.850322 0.099900 0.600581 -0.576857 -0.384053
4.899165 0.015600 0.292003 -0.211060 0.015190
5.000613 0.016900 0.038273 -0.369156 0.007987
5.024671 0.049200 0.398166 0.491297 -0.000033
5.014321 0.052500 0.458652 0.465761 -0.005598
5.002289 0.046300 0.473006 0.391342 -0.032219
5.000863 0.044400 0.480579 0.359596 -0.047185
5.027284 0.039600 0.488330 0.279085 -0.072328
5.065549 0.027500 0.440523 0.131087 -0.102088
5.094134 0.014400 0.320028 0.009067 -0.115060
5.106955 0.008800 0.243675 -0.005167 -0.104741
5.123218 0.013900 0.304444 0.103894 -0.087178
5.130920 0.032500 0.426207 0.270940 -0.061890
5.120247 0.062900 0.531546 0.467041 -0.023990
5.061687 0.068200 0.710817 0.052265 -0.204319
4.989470 0.090700 0.819960 0.194211 -0.177940
4.932016 0.106100 0.892065 0.229487 -0.172753
5.116710 0.078600 0.177719 -0.737406 -0.226564
5.084657 0.058800 0.172598 -0.643337 -0.168463
5.024146 0.024100 0.176826 -0.405704 0.000992
4.937199 0.054100 0.470065 -0.342511 -0.329929
4.945730 0.078600 0.498740 -0.521570 -0.357275
4.977826 0.080400 0.442168 -0.575246 -0.364893
